CRS,NUM,SEC,CLASS TITLE,INSTRUCTOR,BLD,RM,CRD,DAYS,START DATE,END DATE,START TIME,END TIME,LMT
MTH,90,100,Pre-Algebra,Instructor 1,D,234,3,MW,8/20/2018,12/12/2018,08:00AM,09:15AM,30
MTH,90,101,Pre-Algebra,Instructor 2,D,230,3,MW,8/20/2018,12/12/2018,08:00AM,09:15AM,30
MTH,90,102,Pre-Algebra,Instructor 3,D,234,3,TTH,8/21/2018,12/13/2018,08:00AM,09:15AM,30
MTH,90,103,Pre-Algebra,Instructor 4,D,227,3,MW,8/20/2018,12/12/2018,09:30AM,10:45AM,30
MTH,90,104,Pre-Algebra,Instructor 5,F,214,3,TTH,8/21/2018,12/13/2018,09:30AM,10:45AM,30
MTH,90,105,Pre-Algebra,Instructor 6,F,212,3,MW,8/20/2018,12/12/2018,11:00AM,12:15PM,30
MTH,90,106,Pre-Algebra,Instructor 7,F,212,3,TTH,8/21/2018,12/13/2018,11:00AM,12:15PM,30
MTH,90,107,Pre-Algebra,Instructor 8,F,212,3,MW,8/20/2018,12/12/2018,12:30PM,01:45PM,30
MTH,90,108,Pre-Algebra,Instructor 9,F,212,3,TTH,8/21/2018,12/13/2018,12:30PM,01:45PM,30
MTH,90,200,Pre-Algebra,Instructor 10,D,203,3,MW,9/17/2018,12/12/2018,04:00PM,05:40PM,30
MTH,90,201,Pre-Algebra,Instructor 11,D,227,3,TTH,8/21/2018,12/13/2018,06:00PM,07:15PM,30
MTH,95,100,Preparatory Math for Gen Ed,Instructor 12,D,217,6,MTWTH,8/20/2018,12/13/2018,09:30AM,10:45AM,30
MTH,95,101,Preparatory Math for Gen Ed,Instructor 13,D,217,6,MTWTH,8/20/2018,12/13/2018,11:00AM,12:15PM,30
MTH,95,102,Preparatory Math for Gen Ed,Instructor 14,D,217,6,MTWTH,8/20/2018,12/13/2018,12:30PM,01:45PM,30
MTH,95,200,Preparatory Math for Gen Ed,Instructor 15,D,217,6,MTWTH,8/20/2018,12/13/2018,06:00PM,07:15PM,30
MTH,96,100,Basic Algebra,Instructor 16,D,203,4,MTWTH,8/20/2018,12/13/2018,08:00AM,08:50AM,30
MTH,96,101,Basic Algebra,Instructor 17,F,216,4,MTWTH,8/20/2018,12/13/2018,08:00AM,08:50AM,30
MTH,96,102,Basic Algebra,Instructor 18,D,203,4,MTWTH,8/20/2018,12/13/2018,09:00AM,09:50AM,30
MTH,96,103,Basic Algebra,Instructor 19,F,213,4,MTWTH,8/20/2018,12/13/2018,09:00AM,09:50AM,30
MTH,96,104,Basic Algebra,Instructor 20,F,214,4,MW,8/20/2018,12/12/2018,10:00AM,11:40AM,30
MTH,96,105,Basic Algebra,Instructor 21,F,216,4,TTH,8/21/2018,12/13/2018,10:00AM,11:40AM,30
MTH,96,106,Basic Algebra,Instructor 22,D,232,4,MTWTH,8/20/2018,12/13/2018,11:00AM,11:50AM,30
MTH,96,107,Basic Algebra,Instructor 23,G,220,4,MTWTH,8/20/2018,12/13/2018,12:00PM,12:50PM,30
MTH,96,108,Basic Algebra,Instructor 24,D,221,4,MTWTH,8/20/2018,12/13/2018,01:00PM,01:50PM,30
MTH,96,110,Basic Algebra,Instructor 25,D,230,4,MW,9/17/2018,12/12/2018,03:00PM,05:25PM,30
MTH,96,111,Basic Algebra,Instructor 26,D,230,4,TTH,9/18/2018,12/13/2018,03:00PM,05:30PM,30
MTH,96,200,Basic Algebra,Instructor 27,D,234,4,MW,9/17/2018,12/12/2018,04:00PM,06:25PM,30
MTH,96,201,Basic Algebra,Instructor 28,F,212,4,TTH,8/21/2018,12/13/2018,05:00PM,06:40PM,30
MTH,96,202,Basic Algebra,Instructor 29,D,230,4,MW,8/20/2018,12/12/2018,06:00PM,07:40PM,30
MTH,96,203,Basic Algebra,Instructor 30,F,212,4,TTH,8/21/2018,12/13/2018,07:00PM,08:40PM,30
MTH,97,100,Plane Geometry,Instructor 31,F,214,3,TTH,8/21/2018,12/13/2018,11:00AM,12:15PM,30
MTH,97,200,Plane Geometry,Instructor 32,D,226,3,MW,8/20/2018,12/12/2018,06:00PM,07:15PM,30
MTH,98,100,Intermediate Algebra,Instructor 33,D,224,4,MTWTH,8/20/2018,12/13/2018,08:00AM,08:50AM,30
MTH,98,101,Intermediate Algebra,Instructor 34,F,213,4,MTWTH,8/20/2018,12/13/2018,08:00AM,08:50AM,30
MTH,98,102,Intermediate Algebra,Instructor 35,D,221,4,MTWTH,8/20/2018,12/13/2018,09:00AM,09:50AM,30
MTH,98,103,Intermediate Algebra,Instructor 36,D,224,4,MW,8/20/2018,12/12/2018,09:00AM,10:40AM,30
MTH,98,104,Intermediate Algebra,Instructor 37,D,224,4,TTH,8/21/2018,12/13/2018,09:00AM,10:40AM,30
MTH,98,105,Intermediate Algebra,Instructor 38,D,203,4,MTWTH,8/20/2018,12/13/2018,10:00AM,10:50AM,30
MTH,98,106,Intermediate Algebra HYB,Instructor 39,D,201,2,MW,8/20/2018,12/12/2018,10:00AM,10:50AM,30
MTH,98,107,Intermediate Algebra HYB,Instructor 40,D,201,2,TTH,8/21/2018,12/13/2018,10:00AM,10:50AM,30
MTH,98,108,Intermediate Algebra HYB,Instructor 41,F,216,2,MW,8/20/2018,12/12/2018,11:00AM,11:50AM,30
MTH,98,109,Intermediate Algebra,Instructor 42,D,226,4,MTWTH,8/20/2018,12/13/2018,11:00AM,11:50AM,30
MTH,98,110,Intermediate Algebra,Instructor 43,,,4,MTWTH,8/20/2018,12/13/2018,11:00AM,11:50AM,30
MTH,98,111,Intermediate Algebra,Instructor 44,D,232,4,MTWTH,8/20/2018,12/13/2018,12:00PM,12:50PM,30
MTH,98,112,Intermediate Algebra,Instructor 45,D,232,4,MTWTH,8/20/2018,12/13/2018,01:00PM,01:50PM,30
MTH,98,113,Intermediate Algebra,Instructor 46,F,216,4,MTWTH,8/20/2018,12/13/2018,01:00PM,01:50PM,30
MTH,98,114,Intermediate Algebra,Instructor 47,D,226,4,MTWTH,8/20/2018,12/13/2018,02:00PM,02:50PM,30
MTH,98,115,Intermediate Algebra,Instructor 48,F,212,4,MW,9/17/2018,12/12/2018,03:00PM,05:25PM,30
MTH,98,116,Intermediate Algebra,Instructor 49,D,224,4,TTH,9/18/2018,12/13/2018,03:00PM,05:30PM,30
MTH,98,200,Intermediate Algebra,Instructor 50,D,224,4,MW,8/20/2018,12/12/2018,04:00PM,05:40PM,30
MTH,98,201,Intermediate Algebra,Instructor 51,D,226,4,TTH,8/21/2018,12/13/2018,05:00PM,06:40PM,30
MTH,98,202,Intermediate Algebra,Instructor 52,D,203,4,MW,8/20/2018,12/12/2018,06:00PM,07:40PM,30
MTH,98,203,Intermediate Algebra,Instructor 53,D,203,4,TTH,8/21/2018,12/13/2018,06:00PM,07:40PM,30
MTH,98,770,Intermediate Algebra,Instructor 54,,,4,,8/20/2018,12/13/2018,,,30
MTH,99,100,Comb Basic & Interm Alg,Instructor 55,F,214,6,MTWTH,8/20/2018,12/13/2018,08:00AM,09:15AM,30
MTH,99,101,Comb Basic & Interm Alg,Instructor 56,D,232,6,MTWTH,8/20/2018,12/13/2018,09:30AM,10:45AM,30
MTH,99,102,Comb Basic & Interm Alg,Instructor 57,D,230,6,MTWTH,8/20/2018,12/13/2018,11:00AM,12:15PM,30
MTH,99,103,Comb Basic & Interm Alg,Instructor 58,D,230,6,MTWTH,8/20/2018,12/13/2018,12:30PM,01:45PM,30
MTH,99,104,Comb Basic & Interm Alg,Instructor 59,F,213,6,MTWTH,8/20/2018,12/13/2018,02:00PM,03:15PM,30
MTH,99,200,Comb Basic & Interm Alg,Instructor 60,D,222,6,MTWTH,8/20/2018,12/13/2018,06:00PM,07:15PM,30
MTH,102,100,General Educ Statistics,Instructor 61,D,227,3,MW,8/20/2018,12/12/2018,08:00AM,09:15AM,30
MTH,102,101,General Educ Statistics,Instructor 62,F,216,3,MW,8/20/2018,12/12/2018,09:30AM,10:45AM,30
MTH,102,102,General Educ Statistics,Instructor 63,D,227,3,TTH,8/21/2018,12/13/2018,09:30AM,10:45AM,30
MTH,102,103,General Educ Statistics,Instructor 64,G,220,3,MW,8/20/2018,12/12/2018,10:00AM,11:15AM,30
MTH,102,104,General Educ Statistics,Instructor 65,D,234,3,MW,8/20/2018,12/12/2018,11:00AM,12:15PM,30
MTH,102,105,General Educ Statistics,Instructor 66,D,224,3,TTH,8/21/2018,12/13/2018,11:00AM,12:15PM,30
MTH,102,106,General Educ Statistics,Instructor 67,F,213,3,MW,8/20/2018,12/12/2018,12:30PM,01:45PM,30
MTH,102,107,General Educ Statistics,Instructor 68,D,222,3,TTH,8/21/2018,12/13/2018,12:30PM,01:45PM,30
MTH,102,108,General Educ Statistics,Instructor 69,D,217,3,TTH,8/21/2018,12/13/2018,02:00PM,03:15PM,30
MTH,102,150,General Educ Statistics,Instructor 70,D,201,3,SA,8/25/2018,12/8/2018,08:00AM,11:15AM,30
MTH,102,200,General Educ Statistics,Instructor 71,F,212,3,MW,8/20/2018,12/12/2018,06:00PM,07:15PM,30
MTH,102,201,General Educ Statistics,Instructor 72,D,227,3,TTH,8/21/2018,12/13/2018,07:30PM,08:45PM,30
MTH,102,770,General Educ Statistics,Instructor 73,,,3,,8/20/2018,12/13/2018,,,30
MTH,104,100,Liberal Arts Mathematics,Instructor 74,F,210,3,MW,8/20/2018,12/12/2018,08:00AM,09:15AM,30
MTH,104,102,Liberal Arts Mathematics,Instructor 75,F,213,3,MW,8/20/2018,12/12/2018,11:00AM,12:15PM,30
MTH,104,104,Liberal Arts Mathematics,Instructor 76,D,215,3,TTH,8/21/2018,12/13/2018,12:30PM,01:45PM,30
MTH,104,200,Liberal Arts Mathematics,Instructor 77,D,215,3,TTH,8/21/2018,12/13/2018,06:00PM,07:15PM,30
MTH,104,B01,Liberal Arts Mathematics,Instructor 78,D,215,4,TTH,8/21/2018,12/13/2018,09:00AM,10:50AM,30
MTH,104,B02,Liberal Arts Mathematics,Instructor 79,D,201,4,TTH,8/21/2018,12/13/2018,11:00AM,12:50PM,30
MTH,107,100,Technical Math I,Instructor 80,G,204,4,MTWTH,8/20/2018,12/13/2018,02:20PM,03:10PM,30
MTH,107,300,Technical Math I,Instructor 81,O,101,4,MW,8/20/2018,12/12/2018,05:30PM,09:00PM,30
MTH,110,100,Math Elementary Teach I,Instructor 82,D,203,3,MW,8/20/2018,12/12/2018,11:00AM,12:15PM,30
MTH,110,200,Math Elementary Teach I,Instructor 83,D,234,3,TTH,8/21/2018,12/13/2018,04:30PM,05:45PM,30
MTH,112,100,College Algebra,Instructor 84,D,222,4,MTWTH,8/20/2018,12/13/2018,08:00AM,08:50AM,30
MTH,112,101,College Algebra,Instructor 85,F,212,4,MTWTH,8/20/2018,12/13/2018,08:00AM,08:50AM,30
MTH,112,102,College Algebra,Instructor 86,D,222,4,MTWTH,8/20/2018,12/13/2018,09:00AM,09:50AM,30
MTH,112,103,College Algebra,Instructor 87,F,212,4,MTWTH,8/20/2018,12/13/2018,09:00AM,09:50AM,30
MTH,112,104,College Algebra,Instructor 88,D,221,4,MTWTH,8/20/2018,12/13/2018,10:00AM,10:50AM,30
MTH,112,105,College Algebra,Instructor 89,F,213,4,MTWTH,8/20/2018,12/13/2018,10:00AM,10:50AM,30
MTH,112,106,College Algebra,Instructor 90,F,212,4,MTWTH,8/20/2018,12/13/2018,10:00AM,10:50AM,30
MTH,112,107,College Algebra,Instructor 91,D,221,4,MTWTH,8/20/2018,12/13/2018,11:00AM,11:50AM,30
MTH,112,108,College Algebra HYB,Instructor 92,D,224,2,MW,8/20/2018,12/12/2018,11:00AM,11:50AM,30
MTH,112,109,College Algebra HYB,Instructor 93,D,224,2,MW,8/20/2018,12/12/2018,12:00PM,12:50PM,30
MTH,112,110,College Algebra,Instructor 94,F,216,4,MTWTH,8/20/2018,12/13/2018,12:00PM,12:50PM,30
MTH,112,111,College Algebra,Instructor 95,D,203,4,MTWTH,8/20/2018,12/13/2018,01:00PM,01:50PM,30
MTH,112,112,College Algebra,Instructor 96,D,227,4,MTWTH,8/20/2018,12/13/2018,01:00PM,01:50PM,30
MTH,112,113,College Algebra,Instructor 97,D,227,4,MTWTH,8/20/2018,12/13/2018,02:00PM,02:50PM,30
MTH,112,200,College Algebra,Instructor 98,D,222,4,MW,8/20/2018,12/12/2018,04:00PM,05:40PM,30
MTH,112,201,College Algebra,Instructor 99,D,227,4,TTH,8/21/2018,12/13/2018,04:00PM,05:40PM,30
MTH,112,202,College Algebra,Instructor 100,D,221,4,MW,8/20/2018,12/12/2018,06:00PM,07:40PM,30
MTH,112,203,College Algebra,Instructor 101,D,232,4,TTH,8/21/2018,12/13/2018,06:00PM,07:40PM,30
MTH,112,204,College Algebra,Instructor 102,D,227,4,MW,8/20/2018,12/12/2018,07:00PM,08:40PM,30
MTH,112,770,College Algebra,Instructor 103,,,4,,8/20/2018,12/13/2018,,,30
MTH,112,771,College Algebra,Instructor 104,,,4,,8/20/2018,12/13/2018,,,30
MTH,113,100,Math Elementary Teach II,Instructor 105,D,203,3,TTH,8/21/2018,12/13/2018,11:00AM,12:15PM,30
MTH,114,100,Trigonometry,Instructor 106,D,227,3,TTH,8/21/2018,12/13/2018,08:00AM,09:15AM,30
MTH,114,101,Trigonometry,Instructor 107,D,226,3,MW,8/20/2018,12/12/2018,09:30AM,10:45AM,30
MTH,114,102,Trigonometry,Instructor 108,D,234,3,TTH,8/21/2018,12/13/2018,11:00AM,12:15PM,30
MTH,114,103,Trigonometry,Instructor 109,F,213,3,TTH,8/21/2018,12/13/2018,12:30PM,01:45PM,30
MTH,114,104,Trigonometry,Instructor 110,D,234,3,MW,8/20/2018,12/12/2018,02:00PM,03:15PM,30
MTH,114,200,Trigonometry,Instructor 111,D,230,3,TTH,8/21/2018,12/13/2018,06:00PM,07:15PM,30
MTH,120,100,Statistics I,Instructor 112,,,4,MTWTH,8/20/2018,12/13/2018,10:00AM,10:50AM,30
MTH,120,101,Statistics I HYB,Instructor 113,D,215,2,TTH,8/21/2018,12/13/2018,11:00AM,11:50AM,30
MTH,120,102,Statistics I,Instructor 114,D,221,4,MTWTH,8/20/2018,12/13/2018,12:00PM,12:50PM,30
MTH,120,103,Statistics I,Instructor 115,D,234,4,MTWTH,8/20/2018,12/13/2018,01:00PM,01:50PM,30
MTH,120,200,Statistics I,Instructor 116,D,222,4,TTH,8/21/2018,12/13/2018,04:00PM,05:40PM,30
MTH,120,201,Statistics I,Instructor 117,D,232,4,MW,8/20/2018,12/12/2018,06:00PM,07:40PM,30
MTH,120,770,Statistics I,Instructor 118,,,4,,8/20/2018,12/13/2018,,,30
MTH,125,100,Finite Math Bus & Mgement,Instructor 119,D,234,3,MW,8/20/2018,12/12/2018,09:30AM,10:45AM,30
MTH,125,101,Finite Math Bus & Mgement,Instructor 120,D,234,3,TTH,8/21/2018,12/13/2018,02:00PM,03:15PM,30
MTH,126,100,Calculus Bus/Social Sci,Instructor 121,,,4,MTWTH,8/20/2018,12/13/2018,09:00AM,09:50AM,30
MTH,126,101,Calculus Bus/Social Sci,Instructor 122,D,222,4,MTWTH,8/20/2018,12/13/2018,10:00AM,10:50AM,30
MTH,126,102,Calculus Bus/Social Sci,Instructor 123,D,224,4,MTWTH,8/20/2018,12/13/2018,01:00PM,01:50PM,30
MTH,126,103,Calculus Bus/Social Sci,Instructor 124,D,224,4,MTWTH,8/20/2018,12/13/2018,02:00PM,02:50PM,30
MTH,126,200,Calculus Bus/Social Sci,Instructor 125,D,224,4,TTH,8/21/2018,12/13/2018,06:00PM,07:40PM,30
MTH,190,100,Calculus w/Analy Geom I,Instructor 126,D,226,5,MTWTH,8/20/2018,12/13/2018,08:00AM,09:05AM,30
MTH,190,101,Calculus w/Analy Geom I,Instructor 127,D,230,5,MTWTH,8/20/2018,12/13/2018,09:30AM,10:35AM,30
MTH,190,102,Calculus w/Analy Geom I,Instructor 128,D,222,5,MTWTH,8/20/2018,12/13/2018,11:00AM,12:05PM,30
MTH,190,103,Calculus w/Analy Geom I,Instructor 129,D,226,5,MTWTH,8/20/2018,12/13/2018,12:30PM,01:35PM,30
MTH,190,104,Calculus w/Analy Geom I,Instructor 130,D,203,5,MTWTH,8/20/2018,12/13/2018,02:00PM,03:05PM,30
MTH,190,200,Calculus w/Analy Geom I,Instructor 131,D,221,5,TTH,8/21/2018,12/13/2018,06:00PM,08:15PM,30
MTH,210,100,Calculus w/Analy Geom II,Instructor 132,D,227,5,MTWTH,8/20/2018,12/13/2018,11:00AM,12:05PM,30
MTH,210,101,Calculus w/Analy Geom II,Instructor 133,D,232,5,MTWTH,8/20/2018,12/13/2018,02:00PM,03:05PM,30
MTH,210,102,Calculus w/Analy Geom II,Instructor 134,D,221,5,MTWTH,8/20/2018,12/13/2018,02:00PM,03:05PM,30
MTH,210,200,Calculus w/Analy Geom II,Instructor 135,D,224,5,MW,8/20/2018,12/12/2018,06:00PM,08:15PM,30
MTH,230,100,Calculus w/Analy Geom III,Instructor 136,D,222,5,MTWTH,8/20/2018,12/13/2018,02:00PM,03:05PM,30
MTH,230,200,Calculus w/Analy Geom III,Instructor 137,D,227,5,MW,8/20/2018,12/12/2018,04:00PM,06:15PM,30
MTH,250,100,Differential Equations,Instructor 138,D,230,4,MTWTH,8/20/2018,12/13/2018,02:00PM,02:50PM,30
